#Tenor,Date,EUR,EUR-EURIBOR-6M
16Y1M,2032-03-05,0.723964500564082,0.727326039823889
16Y2M,2032-04-05,0.722731210489295,0.726104568297688
16Y3M,2032-05-05,0.721539704374616,0.724924452262572
16Y4M,2032-06-07,0.720231316331642,0.723628539802307
16Y5M,2032-07-05,0.719123029628337,0.722530794601326
16Y6M,2032-08-05,0.717897987109954,0.721317376211105
16Y7M,2032-09-06,0.716635616003035,0.720066952732906
16Y8M,2032-10-05,0.715493509677410,0.718935628901619
16Y9M,2032-11-05,0.714274650129226,0.717728248233539
16Y10M,2032-12-06,0.713057866936141,0.716522895240843
16Y11M,2033-01-05,0.711882308448776,0.715358352012333
17Y,2033-02-07,0.710591432430821,0.714079540407849
17Y1M,2033-03-07,0.709497979510645,0.712996281048267
17Y2M,2033-04-05,0.708367248477576,0.711876066210873
17Y3M,2033-05-05,0.707199423018056,0.710719075334586
17Y4M,2033-06-06,0.705955864553654,0.709487024301972
17Y5M,2033-07-05,0.704830778609676,0.708372322987691
17Y6M,2033-08-05,0.703630083267590,0.707182682338104
17Y7M,2033-09-05,0.702431433337463,0.705995039571309
17Y8M,2033-10-05,0.701273393756748,0.704847606951702
17Y9M,2033-11-07,0.700001755179294,0.703587584898941
17Y10M,2033-12-05,0.698924597577336,0.702520241846104
17Y11M,2034-01-05,0.697733963549639,0.701340429182993
18Y,2034-02-06,0.696507049403457,0.700124636291010
18Y1M,2034-03-06,0.695435269429291,0.699062546534590
18Y2M,2034-04-05,0.694288763835147,0.697926381088547
18Y3M,2034-05-05,0.693144148388275,0.696792062218216
18Y4M,2034-06-05,0.691963361487898,0.695621869461350
18Y5M,2034-07-05,0.690822579736148,0.694491296044833
18Y6M,2034-08-07,0.689569891910843,0.693249787469310
18Y7M,2034-09-05,0.688470920386229,0.692160597078581
18Y8M,2034-10-05,0.687335896328165,0.691035649164532
18Y9M,2034-11-06,0.686127266422730,0.689837719891668
18Y10M,2034-12-05,0.685033781430265,0.688753890326554
18Y11M,2035-01-05,0.683866810725385,0.687597196877495
19Y,2035-02-05,0.682701827981775,0.686442445979693
19Y1M,2035-03-05,0.681651291381773,0.685401112119327
19Y2M,2035-04-05,0.680490082826006,0.684250049326796
19Y3M,2035-05-07,0.679293490782946,0.683063883077576
19Y4M,2035-06-05,0.678210896818239,0.681990696138106
19Y5M,2035-07-05,0.677092787597449,0.680882277059846
19Y6M,2035-08-06,0.675902169449588,0.679701948936326
19Y7M,2035-09-05,0.674787866433286,0.678597249690431
19Y8M,2035-10-05,0.673675400474576,0.677494345879176
19Y9M,2035-11-05,0.672527779031279,0.676356561711771
19Y10M,2035-12-05,0.671419039088438,0.675257299623662
19Y11M,2036-01-07,0.670201536243836,0.674050174735357
20Y,2036-02-05,0.669133432179658,0.672991149566563
